Transaction_ID,Cardholder_Name,Age,Gender,Transaction_Amount,Merchant_Name,Merchant_Category,City,Transaction_Time,International_Transaction,Card_Present,Failed_Attempts,Fraud
TXN1000,Marie Harris,56,Male,3984.75,Smith Group,Grocery,Chennai,09-08-2025 17:33,1,0,4,1
TXN1001,Philip Davis,38,Male,788.53,Solomon Group,Travel,Chennai,04-10-2025 17:30,0,0,4,1
TXN1002,Riley Kim,53,Female,722.91,Ayers Group,Grocery,Delhi,27-12-2025 05:48,0,0,1,0
TXN1003,Jeffrey Barrett,41,Male,4163.89,Smith-Richard,Online Shopping,Pune,18-07-2025 01:41,0,0,4,1
TXN1004,Sara Hogan,50,Female,1528.17,"Gonzalez, Phillips and Reese",Food,Gurgaon,15-04-2026 16:16,1,0,0,0
TXN1005,Gregory Hensley,44,Male,3063.15,"Brown, Hunt and Reyes",Entertainment,Bangalore,18-11-2025 12:26,1,0,5,1
TXN1006,Christina Garcia,64,Male,3095.75,Randall-Moore,Healthcare,Delhi,08-05-2025 04:49,0,1,0,0
TXN1007,Brad Watson,20,Male,4301.1,"Stevens, Burns and Tucker",Healthcare,Bangalore,23-12-2025 07:32,1,0,1,1
TXN1008,William Mercado,21,Female,4711.59,Wang-Reed,Online Shopping,Delhi,23-04-2026 09:43,1,0,0,1
TXN1009,Eric West,43,Female,497.38,Perez Group,Healthcare,Pune,01-06-2025 12:41,0,0,3,0
TXN1010,Melissa Andersen,25,Male,181.6,Castro Group,Food,Bangalore,13-10-2025 11:05,0,0,1,0
TXN1011,Jessica Shields,57,Male,3779.25,Richards-Sullivan,Entertainment,Bangalore,14-03-2026 18:37,1,1,5,1
TXN1012,Brandon Arnold,46,Male,4848.23,Levine-Jensen,Healthcare,Bangalore,01-10-2025 16:07,0,1,1,0
TXN1013,Evan Taylor,53,Male,2993.52,Flynn Group,Travel,Pune,07-07-2025 13:33,0,0,5,1
TXN1014,Larry Bryant,40,Female,2608.96,"Holt, Ritter and Cox",Entertainment,Bangalore,29-10-2025 20:20,0,1,4,1
TXN1015,Dr. Steven Williams,35,Male,2703.06,Lynn-Quinn,Food,Delhi,31-07-2025 15:00,1,1,4,1
TXN1016,Amanda Lewis,32,Female,834.68,Alvarez Group,Electronics,Mumbai,27-05-2025 21:32,1,0,0,0
TXN1017,Crystal Hull,61,Female,1474.51,"Todd, Wallace and Mcclain",Entertainment,Chennai,05-03-2026 16:50,1,0,0,0
TXN1018,Michelle Wood,25,Female,3647.75,"Haney, Reynolds and Wilson",Travel,Mumbai,22-07-2025 22:59,1,1,1,1
TXN1019,Justin Collier,58,Female,4575.65,Hale-Larson,Healthcare,Mumbai,18-10-2025 20:29,0,1,1,0
TXN1020,Travis Wolfe,50,Male,327.16,Phillips and Sons,Grocery,Delhi,06-03-2026 04:04,0,0,2,0
TXN1021,Eric Thomas,61,Female,3191.41,Acosta-Johnson,Electronics,Gurgaon,03-04-2026 03:06,1,1,4,1
TXN1022,Karen Taylor,64,Female,3569.09,Mitchell-Smith,Online Shopping,Delhi,23-08-2025 23:15,0,1,5,1
TXN1023,Robert Norman,56,Female,211.76,Harvey-Norton,Electronics,Bangalore,12-10-2025 13:15,1,0,1,0
TXN1024,Anthony Lambert,30,Female,1016.58,Taylor PLC,Grocery,Chennai,20-05-2025 20:52,1,0,3,0
TXN1025,Matthew Gonzalez,49,Male,3480.63,Green Group,Fashion,Chennai,18-09-2025 15:26,0,0,2,0
TXN1026,Richard Thomas,46,Female,1151.7,Hull-Kelley,Travel,Pune,28-11-2025 20:42,0,1,2,0
TXN1027,Debra Dorsey,39,Female,4403.53,Smith Ltd,Grocery,Delhi,18-11-2025 14:44,1,1,4,1
TXN1028,April Bradley,23,Male,2288.11,"Allison, Smith and Mata",Grocery,Mumbai,19-01-2026 16:21,0,0,5,1
TXN1029,Meredith Edwards,28,Female,1628.48,Flores Group,Electronics,Pune,24-05-2025 21:08,0,0,0,0
TXN1030,Matthew Hopkins,44,Female,2141.27,Graham Inc,Online Shopping,Mumbai,11-01-2026 15:00,1,1,2,0
TXN1031,Gregory Bentley,56,Male,831.63,Johnson-Buchanan,Online Shopping,Chennai,21-12-2025 23:08,0,1,2,0
TXN1032,Travis Allen,59,Female,1694.7,Rojas-Harris,Healthcare,Gurgaon,26-06-2025 06:09,1,0,0,0
TXN1033,Nicholas Sims,69,Male,1824.51,Davidson-Pace,Food,Delhi,16-03-2026 16:02,1,0,1,0
TXN1034,Maria Boyd,20,Male,1511.38,Watkins-Mullen,Food,Delhi,14-01-2026 04:24,0,0,2,0
TXN1035,Amy Reyes,66,Male,4883.31,"Armstrong, Goodman and Vazquez",Electronics,Delhi,29-09-2025 06:18,1,0,4,1
TXN1036,Kimberly Johnston,49,Male,4542.25,"Moore, Sanchez and Lopez",Fashion,Chennai,02-01-2026 01:48,1,0,3,1
TXN1037,Kimberly Rose,43,Male,4928.4,James-Adams,Fuel,Mumbai,02-09-2025 23:46,1,1,2,1
TXN1038,Cindy White,34,Male,3643.8,"Benson, Nichols and Anderson",Electronics,Delhi,31-07-2025 22:49,1,1,1,1
TXN1039,Shaun Brown,23,Female,2000.13,"Moreno, Hinton and Sweeney",Entertainment,Gurgaon,09-09-2025 12:08,0,0,0,0
TXN1040,Emily Jimenez,23,Male,3482.11,"Lozano, Bowers and Joseph",Entertainment,Chennai,21-08-2025 07:41,1,0,2,1
TXN1041,Louis Chapman,53,Male,92.77,Bishop Ltd,Food,Mumbai,11-12-2025 08:09,1,0,3,0
TXN1042,Miss Julie Gonzales,58,Female,3457.78,"Bowers, Anderson and King",Travel,Bangalore,30-12-2025 21:23,1,0,0,1
TXN1043,Nancy Garza,28,Male,1711.92,Chapman LLC,Fuel,Pune,07-12-2025 18:06,0,0,3,0
TXN1044,Matthew Valencia,33,Male,4087.94,Foster Ltd,Electronics,Mumbai,08-03-2026 11:39,0,1,0,0
TXN1045,Kevin Nicholson,65,Female,4827.44,Banks Group,Fuel,Mumbai,31-03-2026 05:32,1,0,0,1
TXN1046,Angela Perez,52,Male,3504.79,Smith-Mcneil,Entertainment,Delhi,12-10-2025 01:21,1,1,5,1
TXN1047,Nicole Rivera,50,Female,3213.74,Jenkins-Foster,Fashion,Gurgaon,21-02-2026 11:33,1,0,3,1
TXN1048,Rachel Davis,55,Male,3348.25,Williams-Lane,Fashion,Mumbai,27-08-2025 00:53,0,0,5,1
TXN1049,Edward Goodwin,42,Female,3320.87,"Perry, Ferguson and Butler",Grocery,Delhi,23-05-2025 09:55,1,0,1,1
TXN1050,Latoya Hartman,19,Male,3462.56,Henderson Group,Online Shopping,Delhi,11-10-2025 19:05,0,0,0,0
TXN1051,Robert Frey,21,Male,1193.87,Graham-Daniels,Food,Gurgaon,03-08-2025 12:21,0,0,2,0
TXN1052,Michael Henry,34,Male,1547.22,Miranda-Foster,Electronics,Gurgaon,12-11-2025 15:42,1,1,2,0
TXN1053,Robert Williams,39,Male,1333.36,Ramsey and Sons,Healthcare,Mumbai,11-09-2025 22:03,1,1,4,1
TXN1054,Morgan Lewis,68,Male,4461.31,Jones-Miller,Fashion,Gurgaon,29-07-2025 02:20,1,0,5,1
TXN1055,Claudia Vega,50,Male,2888.75,Torres-Grimes,Fuel,Pune,24-06-2025 12:22,0,0,3,0
TXN1056,Cassidy Fritz,52,Male,3845.08,Williams-Thomas,Online Shopping,Bangalore,20-04-2026 16:13,0,1,5,1
TXN1057,Jonathan Edwards,46,Male,1405.01,Moore LLC,Food,Bangalore,02-05-2026 00:41,1,0,0,0
TXN1058,Marcus Stanley,54,Female,4642.31,"Hall, Anderson and Brown",Online Shopping,Chennai,09-07-2025 07:10,1,0,2,1
TXN1059,Fernando Jones,50,Female,385.98,Jones-Smith,Electronics,Mumbai,27-08-2025 07:09,1,0,0,0
TXN1060,Christopher Sherman,20,Male,855.77,"Paul, Doyle and Richardson",Online Shopping,Mumbai,30-07-2025 18:10,1,1,5,1
TXN1061,Marc Bartlett,20,Male,2854.61,"Durham, Rogers and Phillips",Healthcare,Mumbai,31-07-2025 10:09,1,1,5,1
TXN1062,Shane Perry,40,Female,709.02,Moore-Soto,Grocery,Delhi,03-12-2025 18:39,1,1,1,0
TXN1063,Mrs. Jamie Montgomery,34,Male,4244.86,Hudson LLC,Grocery,Bangalore,12-07-2025 05:53,0,1,4,1
TXN1064,Nicole Jenkins,59,Male,4048.71,"Jordan, Weaver and Johnson",Fuel,Pune,17-05-2025 10:16,1,0,4,1
TXN1065,Patrick Cox,24,Male,2512.57,"Morris, Jackson and Thomas",Electronics,Chennai,15-11-2025 08:40,0,0,5,1
TXN1066,Levi Gonzalez,33,Female,263.33,Carlson Inc,Online Shopping,Mumbai,16-12-2025 02:39,1,0,5,1
TXN1067,Miguel Hickman,68,Male,2333.33,Montgomery PLC,Fashion,Bangalore,05-03-2026 05:43,0,1,1,0
TXN1068,Caitlyn Allen,39,Male,1258.75,"Miller, Gillespie and Kelly",Food,Chennai,18-11-2025 22:26,0,1,5,1
TXN1069,Sean West,60,Female,644.03,"Solis, Reid and Johnson",Travel,Mumbai,16-08-2025 06:41,0,0,3,0
TXN1070,Robert Sanchez,61,Female,3118.22,Moreno Group,Grocery,Mumbai,23-10-2025 21:56,1,1,3,1
TXN1071,Dr. Jason Johnson,47,Male,2707.77,"Williams, Elliott and Smith",Fashion,Mumbai,30-06-2025 19:49,0,1,4,1
TXN1072,Luis Torres,67,Male,2586.34,"King, Vega and Dalton",Fuel,Mumbai,30-11-2025 09:24,0,1,2,0
TXN1073,Linda Wright,45,Female,3722.77,"Phillips, Williamson and Taylor",Fashion,Mumbai,26-05-2025 23:15,0,0,4,1
TXN1074,Ronnie Harris,40,Male,2147.29,Daniels Inc,Entertainment,Bangalore,30-12-2025 02:54,1,0,1,0
TXN1075,Jessica Tucker,49,Female,2750.64,Mcguire-Smith,Healthcare,Chennai,20-03-2026 19:56,1,1,4,1
TXN1076,Elizabeth Burke,18,Male,4774.78,"Bowen, Williams and Bennett",Electronics,Bangalore,27-10-2025 23:19,0,1,4,1
TXN1077,Andrea Flores,20,Male,1246.18,Patrick Group,Electronics,Pune,14-12-2025 09:04,1,1,5,1
TXN1078,Austin Herring,46,Female,589.2,"Kelly, Orozco and Baker",Entertainment,Pune,27-02-2026 12:52,0,1,5,1
TXN1079,Stephanie Baker,63,Male,4897.76,"Thompson, Boone and Richmond",Fashion,Delhi,15-10-2025 12:15,1,0,1,1
TXN1080,Cindy Green,65,Male,4036.5,Herman-Ramos,Healthcare,Gurgaon,28-01-2026 03:11,0,1,4,1
TXN1081,John Shepherd,40,Female,249.81,Lutz-Castillo,Electronics,Chennai,03-09-2025 23:05,1,1,1,0
TXN1082,Robert Jackson,69,Female,1879.32,Fernandez-Ibarra,Healthcare,Gurgaon,30-08-2025 08:43,1,0,0,0
TXN1083,Christopher Williams,22,Male,3422.98,Lambert and Sons,Entertainment,Chennai,21-04-2026 04:25,1,0,1,1
TXN1084,Mr. Ruben Brown,66,Female,4337.32,Hernandez Ltd,Entertainment,Pune,28-11-2025 08:17,0,1,3,0
TXN1085,Casey Smith,67,Female,2871.1,Moore and Sons,Food,Gurgaon,05-04-2026 02:50,1,1,2,0
TXN1086,Natalie Madden,54,Female,3133.44,Bennett LLC,Fuel,Chennai,04-03-2026 03:01,0,1,1,0
